"consistency_type","request_type","num_requests","avg_read_latency","avg_write_latency","total_time","throughput","monotonic_retry_count"
"STRONG","get","1000","6","0","878","1138.9521640091116","0"
"STRONG","get","3000","4","0","1583","1895.1358180669615","0"
"STRONG","get","5000","3","0","1943","2573.340195573855","0"
"STRONG","get","1000","6","0","878","1138.9521640091116","0"
"EVENTUAL","get","1000","4","0","571","1751.3134851138354","0"
"EVENTUAL","get","3000","1","0","709","4231.311706629055","0"
"EVENTUAL","get","5000","1","0","974","5133.47022587269","0"
"EVENTUAL","get","1000","4","0","571","1751.3134851138354","0"
"STRONG","put","1000","0","174","21843","45.78125715332143","0"
"STRONG","put","3000","0","166","62423","48.05920894542076","0"
"STRONG","put","5000","0","166","104449","47.870252467711516","0"
"STRONG","put","1000","0","174","21843","45.78125715332143","0"
"STRONG","get_put","2000","1","162","20573","97.2147960919652","0"
"STRONG","get_put","6000","1","164","62120","96.58725048293626","0"
"STRONG","get_put","10000","0","168","105771","94.54387308430478","0"
"STRONG","get_put","2000","1","162","20573","97.2147960919652","0"
"EVENTUAL","get_put","2000","1","333","41990","47.630388187663726","0"
"EVENTUAL","get_put","6000","1","329","124166","48.32240710017235","0"
"EVENTUAL","get_put","10000","1","235","148176","67.48731238527158","0"
"EVENTUAL","get_put","2000","1","333","41990","47.630388187663726","0"
"MONOTONIC_READS","get_put","2000","2","170","21632","92.45562130177514","647"
"MONOTONIC_READS","get_put","6000","1","168","64145","93.53807779250137","2100"
"MONOTONIC_READS","get_put","10000","1","167","105682","94.62349312087204","3491"
"MONOTONIC_READS","get_put","2000","2","170","21632","92.45562130177514","647"
"READ_MY_WRITES","get_put","2000","2","171","21842","91.56670634557275","646"
"READ_MY_WRITES","get_put","6000","1","168","63978","93.78223764419019","2100"
"READ_MY_WRITES","get_put","10000","1","166","105401","94.87576019202854","3457"
"READ_MY_WRITES","get_put","2000","2","171","21842","91.56670634557275","646"
